XCoord,YCoord,FID,OBJECTID,ED_ID,PD_NUMBER,PD_LABEL,ED_NAME_EN,ED_NAME_FR,SHAPE_LENG,SHAPE_AREA
1117684.23370193,5300317.18695179,134,37994,18.000000,8.000000,008,Chatham-Kent—Leamington,Chatham-Kent—Leamington,5572.480410,800440.546089
1112441.19014098,5270393.54503804,135,37995,18.000000,56.000000,056,Chatham-Kent—Leamington,Chatham-Kent—Leamington,42745.166247,97222953.145500
1116813.71534008,5299291.17461731,136,37996,18.000000,401.000000,401,Chatham-Kent—Leamington,Chatham-Kent—Leamington,429.775886,11427.878600
1130598.67296953,5325011.23361665,137,37997,18.000000,713.000000,713,Chatham-Kent—Leamington,Chatham-Kent—Leamington,486.349888,12179.676315
1127952.44062254,5305756.22139029,138,37998,18.000000,711.000000,711,Chatham-Kent—Leamington,Chatham-Kent—Leamington,722.118773,31114.645130
1117214.88568569,5302124.37220487,139,37999,18.000000,708.000000,708,Chatham-Kent—Leamington,Chatham-Kent—Leamington,1416.983812,97105.427403
1132392.02951191,5330700.07825040,140,38000,18.000000,10.000000,010,Chatham-Kent—Leamington,Chatham-Kent—Leamington,39517.803176,33962627.964800
1147367.06901505,5340607.03033140,141,38001,18.000000,22.000000,022,Chatham-Kent—Leamington,Chatham-Kent—Leamington,1017.085419,49807.345893
1400883.06842832,5512463.22803446,142,38002,1.000000,705.000000,705,Ajax,Ajax,1342.780688,110653.474500
1398408.69918180,5516709.16197597,143,38003,1.000000,701.000000,701,Ajax,Ajax,476.524604,12580.423435
1397640.65777980,5515670.24521724,144,38004,1.000000,11.000000,011,Ajax,Ajax,5739.978717,1024284.053740
1401114.94919632,5512371.99436748,145,38005,1.000000,706.000000,706,Ajax,Ajax,356.539360,6844.023253
1397104.48340561,5514466.70027241,146,38006,1.000000,12.000000,012,Ajax,Ajax,3971.506952,769932.998344
1400908.85397381,5513902.28545058,147,38007,1.000000,22.000000,022,Ajax,Ajax,4283.587185,911260.243074
1398330.88303007,5516182.00017175,148,38008,1.000000,10.000000,010,Ajax,Ajax,3628.399498,628830.312383
1400561.61991543,5514821.09659180,149,38009,1.000000,17.000000,017,Ajax,Ajax,3632.795828,808135.248885
1397854.03572271,5514798.05572947,150,38010,1.000000,13.000000,013,Ajax,Ajax,4076.930168,752659.506617
1400769.37869871,5511029.58277203,151,38011,1.000000,28.000000,028,Ajax,Ajax,4231.536204,781679.394698
1402112.72494368,5513019.05787128,152,38012,1.000000,23.000000,023,Ajax,Ajax,10368.712578,2275685.608260
1399437.94682411,5515417.55039916,153,38013,1.000000,15.000000,015,Ajax,Ajax,3950.571370,775775.522034
1399783.27144956,5514527.60087178,154,38014,1.000000,18.000000,018,Ajax,Ajax,3586.616600,795393.557444
1398544.33989441,5517819.40482777,155,38015,1.000000,7.000000,007,Ajax,Ajax,5928.714020,1754855.513760
